pandal_id,vehicle_number,vehicle_type,length,width,number_of_wheels
534,TS10JB2991,Mini Truck,4.8,1.9,4
535,TS09XB9704,Tractor,5.8,2.2,6
536,TS10QX2290,Hydraulic Vehicle,14.5,2.8,16
537,TS11PG8158,Truck,8.5,2.5,10
538,TS07HH1296,Tractor,5.8,2.2,6
539,TS10GR3785,Tractor,5.8,2.2,6
540,TS11SF6761,Tractor,5.8,2.2,6
541,TS08FY7571,Pickup Van,4.8,1.9,4
542,TS10FF7554,Trailer,12.0,2.6,14
543,TS07KT5095,Pickup Van,4.8,1.9,4
544,TS09CA4391,Pickup Van,4.8,1.9,4
545,TS10CZ7833,Pickup Van,4.8,1.9,4
546,TS07EI2831,Lorry,8.5,2.5,10
547,TS11BY3294,Lorry,8.5,2.5,10
548,TS08AG5963,Mini Truck,4.8,1.9,4
549,TS08PM1233,Tractor,5.8,2.2,6
550,TS09QC5447,Mini Truck,5.8,2.2,6
551,TS11JB4403,Lorry,12.0,2.6,14
552,TS11ND8252,Mini Truck,4.8,1.9,4
553,TS11QJ8209,Mini Truck,5.8,2.2,6
554,TS08JQ6003,Lorry,12.0,2.6,14
555,TS09HI8732,Tractor,5.8,2.2,6
556,TS08GV5193,Hydraulic Vehicle,14.5,2.8,16
557,TS07YV7390,Tractor,5.8,2.2,6
558,TS11JS4276,Tractor,5.8,2.2,6
559,TS08VW5243,Mini Truck,4.8,1.9,4
560,TS09SK2099,Hydraulic Vehicle,14.5,2.8,16
561,TS08US6567,Lorry,12.0,2.6,14
562,TS08YS6810,Tractor,5.8,2.2,6
563,TS08GY6821,Pickup Van,4.8,1.9,4
564,TS11SX9462,Pickup Van,4.8,1.9,4
565,TS10ZN7558,Mini Truck,4.8,1.9,4
566,TS08QE3297,Pickup Van,4.8,1.9,4
567,TS10GJ7613,Mini Truck,5.8,2.2,6
568,TS08CN2086,Pickup Van,4.8,1.9,4
569,TS11GE4593,Mini Truck,5.8,2.2,6
570,TS10LV3379,Lorry,8.5,2.5,10
571,TS10GO5305,Tractor,5.8,2.2,6
572,TS10UA9901,Lorry,8.5,2.5,10
573,TS09QT3486,Pickup Van,4.8,1.9,4
574,TS11NP8667,Tractor,5.8,2.2,6
575,TS10MS4168,Lorry,12.0,2.6,14
576,TS11DY8718,Truck,8.5,2.5,10
577,TS10YJ4680,Lorry,8.5,2.5,10
578,TS10VI6843,Trailer,12.0,2.6,14
579,TS11ZU2615,Lorry,12.0,2.6,14
580,TS11FA6389,Trailer,12.0,2.6,14
581,TS11YR6273,Lorry,8.5,2.5,10
582,TS08YM4312,Lorry,8.5,2.5,10
583,TS08CC7629,Mini Truck,5.8,2.2,6
584,TS09AP4677,Mini Truck,5.8,2.2,6
585,TS09WZ6963,Tractor,5.8,2.2,6
586,TS09WW4669,Lorry,8.5,2.5,10
587,TS11IX1451,Mini Truck,4.8,1.9,4
588,TS07TB6871,Hydraulic Vehicle,14.5,2.8,16
589,TS10MW8772,Mini Truck,5.8,2.2,6
590,TS11BV7113,Lorry,8.5,2.5,10
591,TS11LS3898,Tractor,5.8,2.2,6
592,TS08TE6527,Truck,8.5,2.5,10
593,TS11CV6251,Mini Truck,4.8,1.9,4
594,TS09PZ5705,Tractor,5.8,2.2,6
595,TS11LV1732,Pickup Van,4.8,1.9,4
596,TS08MH7091,Lorry,12.0,2.6,14
597,TS08YP5152,Tractor,5.8,2.2,6
598,TS11JJ5284,Trailer,12.0,2.6,14
599,TS07HN7076,Mini Truck,4.8,1.9,4
600,TS07MM3508,Trailer,12.0,2.6,14
601,TS07NQ9753,Hydraulic Vehicle,14.5,2.8,16
602,TS11UM5627,Truck,8.5,2.5,10
603,TS08LX1343,Mini Truck,5.8,2.2,6
604,TS09KV7535,Lorry,8.5,2.5,10
605,TS09YT7752,Truck,8.5,2.5,10
606,TS09OH3139,Truck,8.5,2.5,10
607,TS07LT6169,Pickup Van,4.8,1.9,4
608,TS08OD1645,Lorry,8.5,2.5,10
609,TS08ET5916,Lorry,12.0,2.6,14
610,TS11IQ1384,Hydraulic Vehicle,14.5,2.8,16
611,TS09MG8702,Lorry,12.0,2.6,14
612,TS07ZV6220,Tractor,5.8,2.2,6
613,TS09ZV2733,Lorry,12.0,2.6,14
614,TS10TW4048,Truck,8.5,2.5,10
615,TS08MU5861,Lorry,12.0,2.6,14
616,TS07VY8306,Mini Truck,5.8,2.2,6
617,TS11XG4737,Tractor,5.8,2.2,6
618,TS10UE7544,Mini Truck,5.8,2.2,6
619,TS10TX9177,Tractor,5.8,2.2,6
620,TS09VT8028,Trailer,12.0,2.6,14
621,TS09RK6424,Lorry,12.0,2.6,14
622,TS11KC9670,Mini Truck,5.8,2.2,6
623,TS09KP6147,Lorry,8.5,2.5,10
624,TS07AU7904,Mini Truck,5.8,2.2,6
625,TS07KR8816,Tractor,5.8,2.2,6
626,TS07CE3483,Lorry,12.0,2.6,14
627,TS08OF2888,Lorry,8.5,2.5,10
628,TS10AV7798,Tractor,5.8,2.2,6
629,TS11MF4302,Trailer,12.0,2.6,14
630,TS11XX5892,Mini Truck,5.8,2.2,6
631,TS09OM3707,Lorry,12.0,2.6,14
632,TS07BL4527,Tractor,5.8,2.2,6
633,TS07XH8458,Lorry,12.0,2.6,14
634,TS09XP4321,Truck,8.5,2.5,10
635,TS11FL7082,Trailer,12.0,2.6,14
636,TS10OY9834,Truck,8.5,2.5,10
637,TS11DS1066,Hydraulic Vehicle,14.5,2.8,16
638,TS08UU8432,Mini Truck,4.8,1.9,4
639,TS07AJ2983,Mini Truck,5.8,2.2,6
640,TS10BP6236,Tractor,5.8,2.2,6
641,TS11CC5020,Truck,8.5,2.5,10
642,TS07QF8588,Truck,8.5,2.5,10
643,TS10PH1093,Mini Truck,5.8,2.2,6
644,TS09ZW8044,Pickup Van,4.8,1.9,4
645,TS07FC4060,Mini Truck,5.8,2.2,6
646,TS07QZ1199,Mini Truck,4.8,1.9,4
647,TS08VE9353,Mini Truck,4.8,1.9,4
648,TS08VX7122,Mini Truck,4.8,1.9,4
649,TS10CR2390,Lorry,8.5,2.5,10
650,TS07WP6610,Truck,8.5,2.5,10
651,TS08YT3281,Lorry,8.5,2.5,10
652,TS10PW5435,Mini Truck,4.8,1.9,4
653,TS10TD8804,Tractor,5.8,2.2,6
654,TS11BA2825,Trailer,12.0,2.6,14
655,TS11TA3627,Hydraulic Vehicle,14.5,2.8,16
656,TS10GH2644,Mini Truck,4.8,1.9,4
657,TS09EW2267,Mini Truck,4.8,1.9,4
658,TS09MA9043,Mini Truck,5.8,2.2,6
659,TS07YH2474,Lorry,12.0,2.6,14
660,TS11UZ3882,Mini Truck,5.8,2.2,6
661,TS11FH1143,Lorry,8.5,2.5,10
662,TS08FU1692,Tractor,5.8,2.2,6
663,TS08ZB4389,Lorry,8.5,2.5,10
664,TS08EA4720,Mini Truck,5.8,2.2,6
665,TS11JL9397,Tractor,5.8,2.2,6
666,TS10KZ8541,Tractor,5.8,2.2,6
667,TS09EE4216,Trailer,12.0,2.6,14
668,TS09XP2082,Pickup Van,4.8,1.9,4
669,TS11QV5570,Trailer,12.0,2.6,14
670,TS08DW9883,Lorry,12.0,2.6,14
671,TS07JH8971,Mini Truck,5.8,2.2,6
672,TS10CZ3488,Pickup Van,4.8,1.9,4
673,TS08ZF7403,Pickup Van,4.8,1.9,4
674,TS08WP8413,Truck,8.5,2.5,10
675,TS08DO3066,Pickup Van,4.8,1.9,4
676,TS07BB5131,Tractor,5.8,2.2,6
677,TS10KE1688,Hydraulic Vehicle,14.5,2.8,16
678,TS09VV9273,Mini Truck,5.8,2.2,6
679,TS11UZ2028,Mini Truck,4.8,1.9,4
680,TS07HO4915,Mini Truck,5.8,2.2,6
681,TS11XK3903,Mini Truck,5.8,2.2,6
682,TS09JR9989,Pickup Van,4.8,1.9,4
683,TS10VT5559,Tractor,5.8,2.2,6
684,TS07KM8084,Mini Truck,5.8,2.2,6
685,TS10GA6823,Truck,8.5,2.5,10
686,TS07TZ1532,Lorry,8.5,2.5,10
687,TS07PJ5912,Hydraulic Vehicle,14.5,2.8,16
688,TS08BI6103,Lorry,12.0,2.6,14
689,TS07PB8687,Lorry,12.0,2.6,14
690,TS11IS4072,Pickup Van,4.8,1.9,4
691,TS07DM4132,Lorry,8.5,2.5,10
692,TS08WD1225,Mini Truck,5.8,2.2,6
693,TS10PI8167,Mini Truck,4.8,1.9,4
694,TS11OL5967,Mini Truck,5.8,2.2,6
695,TS11IW2619,Mini Truck,5.8,2.2,6
696,TS08AK7876,Trailer,12.0,2.6,14
697,TS07KL8723,Mini Truck,5.8,2.2,6
698,TS08GL2586,Mini Truck,4.8,1.9,4
699,TS09RF1104,Truck,8.5,2.5,10
700,TS09GF3571,Pickup Van,4.8,1.9,4
701,TS08PM1124,Trailer,12.0,2.6,14
702,TS11RV4532,Lorry,8.5,2.5,10
703,TS08BH9741,Mini Truck,5.8,2.2,6
704,TS09QR2532,Lorry,12.0,2.6,14
705,TS08VI6532,Mini Truck,5.8,2.2,6
706,TS08LK7210,Tractor,5.8,2.2,6
707,TS09MP1661,Mini Truck,4.8,1.9,4
708,TS09QH6269,Truck,8.5,2.5,10
709,TS08CB5387,Mini Truck,5.8,2.2,6
710,TS10IH3537,Tractor,5.8,2.2,6
711,TS09YI2346,Tractor,5.8,2.2,6
712,TS07VC8697,Mini Truck,5.8,2.2,6
713,TS10TW2008,Tractor,5.8,2.2,6
714,TS08ZD2475,Lorry,12.0,2.6,14
715,TS07XC2374,Truck,8.5,2.5,10
716,TS11ET9583,Lorry,8.5,2.5,10
717,TS07JT2161,Lorry,8.5,2.5,10
718,TS07HO5505,Lorry,12.0,2.6,14
719,TS11WD2908,Trailer,12.0,2.6,14
720,TS07FY4581,Truck,8.5,2.5,10
721,TS08JR1081,Trailer,12.0,2.6,14
722,TS11LS2062,Mini Truck,4.8,1.9,4
723,TS08RZ6999,Trailer,12.0,2.6,14
724,TS11RB7681,Mini Truck,5.8,2.2,6
725,TS11YA5664,Tractor,5.8,2.2,6
726,TS07ZR7265,Mini Truck,5.8,2.2,6
727,TS09MR3440,Hydraulic Vehicle,14.5,2.8,16
728,TS07YM9255,Trailer,12.0,2.6,14
729,TS10NY3903,Truck,8.5,2.5,10
730,TS10VE3247,Mini Truck,4.8,1.9,4
731,TS08GO4802,Mini Truck,4.8,1.9,4
732,TS07MD4585,Truck,8.5,2.5,10
733,TS07EM5817,Mini Truck,5.8,2.2,6
734,TS07FU2511,Truck,8.5,2.5,10
735,TS07QF9904,Truck,8.5,2.5,10
736,TS11YZ3400,Tractor,5.8,2.2,6
737,TS10SE2193,Tractor,5.8,2.2,6
738,TS07KZ1555,Mini Truck,5.8,2.2,6
739,TS11QO1586,Lorry,8.5,2.5,10
740,TS11RP7299,Truck,8.5,2.5,10
741,TS07WI1489,Pickup Van,4.8,1.9,4
742,TS08EL5819,Mini Truck,4.8,1.9,4
743,TS11YK8918,Pickup Van,4.8,1.9,4
744,TS07UP9502,Mini Truck,4.8,1.9,4
745,TS11PF1768,Lorry,12.0,2.6,14
746,TS11GN8796,Pickup Van,4.8,1.9,4
747,TS11QP1985,Mini Truck,4.8,1.9,4
748,TS10RO5579,Hydraulic Vehicle,14.5,2.8,16
749,TS07ZW8014,Tractor,5.8,2.2,6
750,TS09KP1553,Truck,8.5,2.5,10
751,TS10UZ8226,Hydraulic Vehicle,14.5,2.8,16
752,TS07EG3346,Truck,8.5,2.5,10
753,TS10FZ3960,Mini Truck,4.8,1.9,4
754,TS07MB3976,Trailer,12.0,2.6,14
755,TS07XN6356,Truck,8.5,2.5,10
756,TS08FZ7440,Tractor,5.8,2.2,6
757,TS08BK5038,Pickup Van,4.8,1.9,4
758,TS11GF1616,Mini Truck,4.8,1.9,4
759,TS08AI5949,Mini Truck,4.8,1.9,4
760,TS07CJ4257,Truck,8.5,2.5,10
761,TS07GF2934,Pickup Van,4.8,1.9,4
762,TS08GT4507,Tractor,5.8,2.2,6
763,TS11VM9598,Pickup Van,4.8,1.9,4
764,TS08YW9135,Lorry,12.0,2.6,14
765,TS10BN3017,Lorry,12.0,2.6,14
766,TS09KI3598,Pickup Van,4.8,1.9,4
767,TS09JN3825,Lorry,8.5,2.5,10
768,TS07OM5524,Trailer,12.0,2.6,14
769,TS07HB8568,Pickup Van,4.8,1.9,4
770,TS10NW8036,Truck,8.5,2.5,10
771,TS11HE8782,Lorry,12.0,2.6,14
772,TS09SH9910,Mini Truck,4.8,1.9,4
773,TS08UC4254,Mini Truck,4.8,1.9,4
774,TS08YK8158,Tractor,5.8,2.2,6
775,TS11FD2458,Mini Truck,4.8,1.9,4
776,TS07OA9806,Lorry,8.5,2.5,10
777,TS11LO1188,Mini Truck,5.8,2.2,6
778,TS11IZ3709,Pickup Van,4.8,1.9,4
779,TS07LN1721,Lorry,8.5,2.5,10
780,TS09TM7287,Pickup Van,4.8,1.9,4
781,TS11RE1005,Truck,8.5,2.5,10
782,TS07GD5067,Mini Truck,5.8,2.2,6
783,TS10KY1359,Mini Truck,4.8,1.9,4
784,TS09TR9955,Trailer,12.0,2.6,14
785,TS09RN9821,Lorry,12.0,2.6,14
786,TS11EX3958,Lorry,12.0,2.6,14
787,TS09HN3060,Lorry,8.5,2.5,10
788,TS11TN8067,Mini Truck,4.8,1.9,4
789,TS08ZQ1473,Lorry,8.5,2.5,10
790,TS07WV7971,Lorry,8.5,2.5,10
791,TS07FI2637,Lorry,8.5,2.5,10
792,TS11EG2296,Hydraulic Vehicle,14.5,2.8,16
793,TS11IH8843,Truck,8.5,2.5,10
794,TS09LZ5396,Pickup Van,4.8,1.9,4
795,TS10OY7523,Tractor,5.8,2.2,6
796,TS08BI6389,Truck,8.5,2.5,10
797,TS10OP9276,Lorry,12.0,2.6,14
798,TS10WZ2755,Lorry,12.0,2.6,14
799,TS11BJ6152,Trailer,12.0,2.6,14
800,TS11OF9543,Pickup Van,4.8,1.9,4
801,TS07BD1244,Lorry,12.0,2.6,14
802,TS09MZ2522,Pickup Van,4.8,1.9,4
803,TS10SK2600,Truck,8.5,2.5,10
804,TS10NI2507,Mini Truck,5.8,2.2,6
805,TS07QT1246,Mini Truck,4.8,1.9,4
806,TS10QV8951,Tractor,5.8,2.2,6
807,TS10AJ2288,Trailer,12.0,2.6,14
808,TS10TF2222,Truck,8.5,2.5,10
809,TS09XX7003,Mini Truck,5.8,2.2,6
810,TS11AX1815,Trailer,12.0,2.6,14
811,TS07PQ9465,Lorry,8.5,2.5,10
812,TS11LA3916,Lorry,12.0,2.6,14
813,TS11KV1240,Mini Truck,4.8,1.9,4
814,TS08TI5571,Mini Truck,5.8,2.2,6
815,TS09YR7607,Mini Truck,4.8,1.9,4
816,TS07XN8336,Tractor,5.8,2.2,6
817,TS07OO5533,Lorry,12.0,2.6,14
818,TS11DH2633,Mini Truck,4.8,1.9,4
819,TS09WC3902,Tractor,5.8,2.2,6
820,TS11IO6567,Pickup Van,4.8,1.9,4
821,TS10JV4542,Lorry,12.0,2.6,14
822,TS08UK3855,Mini Truck,4.8,1.9,4
823,TS10PI1722,Mini Truck,5.8,2.2,6
824,TS09KA4571,Tractor,5.8,2.2,6
825,TS09KD2142,Truck,8.5,2.5,10
826,TS10OH3229,Pickup Van,4.8,1.9,4
827,TS10BH4936,Mini Truck,4.8,1.9,4
828,TS08WY1100,Hydraulic Vehicle,14.5,2.8,16
829,TS07QN4464,Truck,8.5,2.5,10
830,TS11YZ4538,Lorry,8.5,2.5,10
831,TS11GT5825,Truck,8.5,2.5,10
832,TS07VE1213,Mini Truck,4.8,1.9,4
833,TS10KB7670,Truck,8.5,2.5,10
834,TS11CN2212,Pickup Van,4.8,1.9,4
835,TS08DN8976,Truck,8.5,2.5,10
836,TS09SJ5173,Lorry,8.5,2.5,10
837,TS10EN2924,Pickup Van,4.8,1.9,4
838,TS11VT2607,Lorry,12.0,2.6,14
839,TS09RH4684,Lorry,12.0,2.6,14
840,TS10KZ8430,Tractor,5.8,2.2,6
841,TS10XT9237,Hydraulic Vehicle,14.5,2.8,16
842,TS11EK7081,Mini Truck,4.8,1.9,4
843,TS11SG5060,Mini Truck,4.8,1.9,4
844,TS08ED2300,Pickup Van,4.8,1.9,4
845,TS10GU3680,Trailer,12.0,2.6,14
846,TS08OR2030,Lorry,12.0,2.6,14
847,TS07TJ4714,Mini Truck,5.8,2.2,6
848,TS11UF8940,Lorry,8.5,2.5,10
849,TS09PW4638,Lorry,12.0,2.6,14
850,TS08MB2616,Truck,8.5,2.5,10
851,TS10PG6313,Trailer,12.0,2.6,14
852,TS08FX6795,Hydraulic Vehicle,14.5,2.8,16
853,TS08AP6165,Tractor,5.8,2.2,6
854,TS09MC6141,Truck,8.5,2.5,10
855,TS11XM4465,Tractor,5.8,2.2,6
856,TS07GS4991,Pickup Van,4.8,1.9,4
857,TS10VY1463,Pickup Van,4.8,1.9,4
858,TS08AQ6486,Lorry,8.5,2.5,10
859,TS10RO7482,Mini Truck,5.8,2.2,6
860,TS07AN5002,Truck,8.5,2.5,10
861,TS08BW7077,Mini Truck,4.8,1.9,4
862,TS09JN8120,Trailer,12.0,2.6,14
863,TS11OJ4709,Truck,8.5,2.5,10
864,TS07HF2697,Truck,8.5,2.5,10
865,TS08BH1166,Tractor,5.8,2.2,6
866,TS09QW7416,Mini Truck,4.8,1.9,4
867,TS08CC4650,Mini Truck,4.8,1.9,4
868,TS09HV8385,Mini Truck,5.8,2.2,6
869,TS09CO5317,Pickup Van,4.8,1.9,4
870,TS08EQ3511,Trailer,12.0,2.6,14
871,TS09AO7993,Truck,8.5,2.5,10
872,TS07GI3159,Lorry,8.5,2.5,10
873,TS10IV9953,Tractor,5.8,2.2,6
874,TS08KQ2050,Mini Truck,4.8,1.9,4
875,TS08DE2385,Lorry,8.5,2.5,10
876,TS09DS5125,Truck,8.5,2.5,10
877,TS07MF7174,Lorry,8.5,2.5,10
878,TS11TS6416,Mini Truck,5.8,2.2,6
879,TS10HI4030,Mini Truck,5.8,2.2,6
880,TS08SJ2917,Mini Truck,4.8,1.9,4
881,TS08BN7176,Truck,8.5,2.5,10
882,TS08ED3832,Lorry,12.0,2.6,14
883,TS09RR1958,Truck,8.5,2.5,10
884,TS10XJ2945,Tractor,5.8,2.2,6
885,TS11GZ2847,Pickup Van,4.8,1.9,4
886,TS07XR1326,Truck,8.5,2.5,10
887,TS07KZ3940,Mini Truck,5.8,2.2,6
888,TS10HH3905,Tractor,5.8,2.2,6
889,TS10DH8111,Trailer,12.0,2.6,14
890,TS11PK1324,Hydraulic Vehicle,14.5,2.8,16
891,TS10DO9243,Truck,8.5,2.5,10
892,TS11DE6303,Mini Truck,5.8,2.2,6
893,TS10SJ2031,Tractor,5.8,2.2,6
894,TS07NO4973,Mini Truck,5.8,2.2,6
895,TS07KF2937,Mini Truck,5.8,2.2,6
896,TS07KP5999,Pickup Van,4.8,1.9,4
897,TS10DS6830,Pickup Van,4.8,1.9,4
898,TS11PF7790,Tractor,5.8,2.2,6
899,TS09FJ1632,Tractor,5.8,2.2,6
900,TS07IP6034,Mini Truck,5.8,2.2,6
901,TS09GD3723,Lorry,12.0,2.6,14
902,TS11KW6263,Truck,8.5,2.5,10
903,TS11UB6951,Mini Truck,5.8,2.2,6
904,TS08IJ4328,Mini Truck,4.8,1.9,4
905,TS09ZF8862,Lorry,12.0,2.6,14
906,TS09NV8837,Mini Truck,5.8,2.2,6
907,TS09KB1475,Lorry,8.5,2.5,10
908,TS09MI9431,Lorry,8.5,2.5,10
909,TS08EC8227,Pickup Van,4.8,1.9,4
910,TS08NP3619,Tractor,5.8,2.2,6
911,TS11AA3734,Lorry,12.0,2.6,14
912,TS08EV7464,Lorry,8.5,2.5,10
913,TS11ZD9229,Pickup Van,4.8,1.9,4
914,TS09QX7569,Mini Truck,4.8,1.9,4
915,TS08SP4046,Mini Truck,4.8,1.9,4
916,TS10NA6621,Pickup Van,4.8,1.9,4
917,TS07LD1613,Tractor,5.8,2.2,6
918,TS08AS7746,Mini Truck,5.8,2.2,6
919,TS07WH6384,Trailer,12.0,2.6,14
920,TS11PG9984,Pickup Van,4.8,1.9,4
921,TS07FR3092,Lorry,8.5,2.5,10
922,TS07BW9105,Mini Truck,4.8,1.9,4
923,TS09SN4353,Tractor,5.8,2.2,6
924,TS09MQ8071,Lorry,12.0,2.6,14
925,TS11LG7705,Tractor,5.8,2.2,6
926,TS08CD4345,Pickup Van,4.8,1.9,4
927,TS11ZC8765,Hydraulic Vehicle,14.5,2.8,16
928,TS11IY2348,Mini Truck,4.8,1.9,4
929,TS08EP7700,Tractor,5.8,2.2,6
930,TS09RS2489,Pickup Van,4.8,1.9,4
931,TS07QQ5411,Mini Truck,4.8,1.9,4
932,TS10SX9668,Mini Truck,4.8,1.9,4
933,TS10FE1159,Mini Truck,4.8,1.9,4
934,TS10OH2822,Mini Truck,4.8,1.9,4
935,TS11BM1145,Lorry,8.5,2.5,10
936,TS07DX5002,Mini Truck,5.8,2.2,6
937,TS09GK4918,Mini Truck,4.8,1.9,4
938,TS08WY9832,Pickup Van,4.8,1.9,4
939,TS08OH6873,Trailer,12.0,2.6,14
940,TS09SA5699,Pickup Van,4.8,1.9,4
941,TS11XU7999,Pickup Van,4.8,1.9,4
942,TS08ON4584,Hydraulic Vehicle,14.5,2.8,16
943,TS11FF6207,Mini Truck,5.8,2.2,6
944,TS10RO9366,Hydraulic Vehicle,14.5,2.8,16
945,TS09IZ4432,Hydraulic Vehicle,14.5,2.8,16
946,TS09ZJ2440,Mini Truck,5.8,2.2,6
947,TS11ZN9795,Mini Truck,5.8,2.2,6
948,TS07WM1834,Pickup Van,4.8,1.9,4
949,TS11ST1810,Pickup Van,4.8,1.9,4
950,TS09VW1834,Mini Truck,5.8,2.2,6
951,TS10FR9658,Mini Truck,5.8,2.2,6
952,TS08VT7294,Mini Truck,4.8,1.9,4
953,TS11BA3780,Lorry,8.5,2.5,10
954,TS10AM8249,Lorry,8.5,2.5,10
955,TS07PA4564,Lorry,12.0,2.6,14
956,TS07JD7964,Mini Truck,5.8,2.2,6
957,TS11CC1051,Mini Truck,4.8,1.9,4
958,TS10PK2613,Mini Truck,5.8,2.2,6
959,TS09YI7927,Mini Truck,4.8,1.9,4
960,TS10KJ4739,Mini Truck,5.8,2.2,6
961,TS08OF9457,Tractor,5.8,2.2,6
962,TS10WE6867,Hydraulic Vehicle,14.5,2.8,16
963,TS07LZ1416,Mini Truck,4.8,1.9,4
964,TS10WK6640,Mini Truck,4.8,1.9,4
965,TS10DD2228,Pickup Van,4.8,1.9,4
966,TS08DN1128,Mini Truck,5.8,2.2,6
967,TS11AC8382,Mini Truck,5.8,2.2,6
968,TS09IM4667,Mini Truck,4.8,1.9,4
969,TS11HE8569,Trailer,12.0,2.6,14
970,TS08OF5976,Trailer,12.0,2.6,14
971,TS08BR1167,Hydraulic Vehicle,14.5,2.8,16
972,TS08FL4152,Mini Truck,5.8,2.2,6
973,TS07HM9262,Hydraulic Vehicle,14.5,2.8,16
974,TS09YI2482,Pickup Van,4.8,1.9,4
975,TS11LI3622,Mini Truck,4.8,1.9,4
976,TS09HX7566,Pickup Van,4.8,1.9,4
977,TS11SF9733,Mini Truck,5.8,2.2,6
978,TS11OP8552,Mini Truck,4.8,1.9,4
979,TS10BN9072,Truck,8.5,2.5,10
980,TS07QK9248,Lorry,8.5,2.5,10
981,TS08YU6224,Mini Truck,5.8,2.2,6
982,TS08UA2485,Truck,8.5,2.5,10
983,TS07SL8050,Mini Truck,5.8,2.2,6
984,TS07SH7263,Mini Truck,4.8,1.9,4
985,TS07AS6334,Mini Truck,5.8,2.2,6
986,TS08GW2624,Mini Truck,5.8,2.2,6
987,TS08TB5545,Mini Truck,5.8,2.2,6
988,TS09YI2274,Mini Truck,5.8,2.2,6
989,TS10RS1679,Mini Truck,5.8,2.2,6
990,TS09HK1262,Mini Truck,5.8,2.2,6
991,TS10XM2349,Mini Truck,5.8,2.2,6
992,TS11XT1549,Lorry,12.0,2.6,14
993,TS07HW5062,Tractor,5.8,2.2,6
994,TS11UI2331,Lorry,8.5,2.5,10
995,TS10AX6159,Pickup Van,4.8,1.9,4
996,TS07YC7589,Mini Truck,4.8,1.9,4
997,TS08YZ4823,Mini Truck,5.8,2.2,6
998,TS09VU1315,Truck,8.5,2.5,10
999,TS09HR9398,Hydraulic Vehicle,14.5,2.8,16
1000,TS07KU9645,Tractor,5.8,2.2,6
1001,TS10UJ1696,Pickup Van,4.8,1.9,4
1002,TS07VA8498,Lorry,8.5,2.5,10
1003,TS10MM3169,Lorry,8.5,2.5,10
1004,TS09QV8938,Tractor,5.8,2.2,6
1005,TS08AF5362,Lorry,12.0,2.6,14
1006,TS09QY2296,Mini Truck,4.8,1.9,4
1007,TS09WM7735,Hydraulic Vehicle,14.5,2.8,16
1008,TS07IF9592,Lorry,8.5,2.5,10
1009,TS11XP7550,Truck,8.5,2.5,10
1010,TS08EM1161,Mini Truck,5.8,2.2,6
1011,TS11ZS9121,Pickup Van,4.8,1.9,4
1012,TS08KH1507,Mini Truck,5.8,2.2,6
1013,TS08UA8349,Lorry,12.0,2.6,14
1014,TS08CV4181,Mini Truck,5.8,2.2,6
1015,TS11XS2162,Hydraulic Vehicle,14.5,2.8,16
1016,TS08YH6164,Mini Truck,5.8,2.2,6
1017,TS07IL7283,Hydraulic Vehicle,14.5,2.8,16
1018,TS10BU9059,Truck,8.5,2.5,10
1019,TS08SM7449,Pickup Van,4.8,1.9,4
1020,TS07MJ8165,Mini Truck,5.8,2.2,6
1021,TS07VW2924,Tractor,5.8,2.2,6
1022,TS09FZ7542,Tractor,5.8,2.2,6
1023,TS09PX1929,Lorry,8.5,2.5,10
1024,TS08KW7159,Lorry,12.0,2.6,14
1025,TS08BM7484,Tractor,5.8,2.2,6
1026,TS08BZ4887,Lorry,12.0,2.6,14
1027,TS11WR8051,Hydraulic Vehicle,14.5,2.8,16
1028,TS09HQ2483,Hydraulic Vehicle,14.5,2.8,16
1029,TS11PB6159,Truck,8.5,2.5,10
1030,TS07LQ6982,Lorry,12.0,2.6,14
1031,TS09CG5018,Lorry,12.0,2.6,14
1032,TS10XJ7629,Pickup Van,4.8,1.9,4
1033,TS10PZ2453,Truck,8.5,2.5,10
1034,TS07FR3185,Mini Truck,4.8,1.9,4
1035,TS08HV3987,Mini Truck,4.8,1.9,4
1036,TS09CK5402,Truck,8.5,2.5,10
1037,TS08YY8086,Truck,8.5,2.5,10
1038,TS11LB4900,Mini Truck,4.8,1.9,4
1039,TS11FN8429,Tractor,5.8,2.2,6
1040,TS09KT8957,Lorry,12.0,2.6,14
1041,TS09TW4400,Tractor,5.8,2.2,6
1042,TS11JR6561,Truck,8.5,2.5,10
1043,TS10XQ9055,Pickup Van,4.8,1.9,4
1044,TS09SU7063,Tractor,5.8,2.2,6
1045,TS08GM2955,Pickup Van,4.8,1.9,4
1046,TS09PL2636,Tractor,5.8,2.2,6
1047,TS07EF5205,Tractor,5.8,2.2,6
1048,TS07OA5016,Lorry,8.5,2.5,10
1049,TS09VS1198,Mini Truck,4.8,1.9,4
1050,TS11AJ6206,Mini Truck,4.8,1.9,4
1051,TS07FW5111,Lorry,12.0,2.6,14
1052,TS08DS8209,Tractor,5.8,2.2,6
1053,TS11MW9426,Mini Truck,5.8,2.2,6
1054,TS08WA7290,Mini Truck,5.8,2.2,6
1055,TS11JN9990,Lorry,8.5,2.5,10
1056,TS11UU8340,Mini Truck,4.8,1.9,4
1057,TS10QC6779,Pickup Van,4.8,1.9,4
1058,TS08AV8847,Tractor,5.8,2.2,6
1059,TS07UP1115,Trailer,12.0,2.6,14
1060,TS11VN5977,Truck,8.5,2.5,10
1061,TS08DK6394,Pickup Van,4.8,1.9,4
